id;numero_processo;nome_aluno;disciplina;perido_lectivo;ano_lectivo;falta_justificada;falta_injustificada;avaliacao_continuca;primeira_prova;segunda_prova;exame;recurso;exame_especial;prova;prova_content_type;situacao;turma_id;curriculo_id;professor_id
1;Benin structure;Gorgeous Engineer;National content-based Investment Account;seamless Chief;88572;60458;68666;6;5;12;1;17;18;../fake-data/blob/hipster.png;image/png;USB Toys;1;1;1
2;Fantastic;Paradigm;Berkshire New Mexico connecting;innovate Shirt;47421;2490;61749;14;8;11;14;8;12;../fake-data/blob/hipster.png;image/png;Money Market Account metrics digital;2;2;2
3;transmitting;pink Group;program Versatile;Analyst bandwidth clear-thinking;7324;53820;20139;1;9;10;4;17;4;../fake-data/blob/hipster.png;image/png;Legacy Romania content;3;3;3
4;Cloned;Bike Berkshire;Generic;Centers Concrete;74933;69580;15055;12;4;6;15;0;18;../fake-data/blob/hipster.png;image/png;Jewelery;4;4;4
5;Assistant optimize;Keyboard Park;robust;Computer Shoes;48551;43116;41968;11;13;5;0;7;8;../fake-data/blob/hipster.png;image/png;California tan;5;5;5
6;wireless;magenta Auto Loan Account;Trace;Vision-oriented Small;55964;11711;18972;5;14;11;2;8;4;../fake-data/blob/hipster.png;image/png;Fantastic Wooden Ball Extended SMS;6;6;6
7;Specialist Rubber Chicken;Central;Money Market Account superstructure;application channels Gibraltar Pound;78413;73748;92335;14;13;6;0;15;19;../fake-data/blob/hipster.png;image/png;Suriname;7;7;7
8;frame Congo Awesome Soft Computer;Checking Account;Intelligent;Strategist Jordanian Dinar;56639;84754;73315;18;7;19;3;10;13;../fake-data/blob/hipster.png;image/png;Incredible;8;8;8
9;Home Loan Account haptic;Clothing;clear-thinking;online Cove Cambridgeshire;51595;83924;56739;13;17;1;6;4;10;../fake-data/blob/hipster.png;image/png;FTP Avon;9;9;9
10;Global modular;Licensed Concrete Chair Beauty withdrawal;Trinidad and Tobago Dollar Handmade Steel Bacon;Berkshire District Movies;9893;13325;3251;20;19;12;8;20;1;../fake-data/blob/hipster.png;image/png;index Soft Bedfordshire;10;10;10
