id;numero_processo;nome_aluno;livro_registro;folha_registro;tema_projecto_tecnologio;nota_projecto_tecnologio;data_defesa;local_estagio;aproveitamento_estagio;inicio_estagio;final_estagio;data
1;Pataca Bermudian Dollar (customarily known as Bermuda Dollar) bypassing;Implementation Quality;25753;29574;Uruguay maximize;11;2020-01-25T21:21:00;interfaces;Savings Account Networked Practical;2020-01-25;2020-01-26;2020-01-25T21:44:49
2;Serbian Dinar Operations sky blue;Bedfordshire;97835;69328;Shoes open-source;1;2020-01-26T13:12:58;panel B2C;Nepalese Rupee primary;2020-01-25;2020-01-26;2020-01-26T05:50:56
3;payment;Profit-focused invoice Savings Account;92244;91595;Plastic concept Afghani;10;2020-01-26T09:33:53;attitude scalable;eyeballs;2020-01-26;2020-01-26;2020-01-26T03:15:46
4;Assistant Intelligent program;Incredible;90578;73843;Borders client-driven;0;2020-01-25T14:57:00;Netherlands Antillian Guilder parse;full-range;2020-01-25;2020-01-26;2020-01-26T11:03:48
5;Checking Account Practical Granite Computer;Shoes empowering Berkshire;22092;84123;enhance;8;2020-01-26T09:59:48;Handmade Swedish Krona;Dominican Peso;2020-01-26;2020-01-25;2020-01-25T18:27:10
6;impactful bus;Plains;71436;74346;e-enable back up;13;2020-01-26T01:38:01;RAM Industrial;British Indian Ocean Territory (Chagos Archipelago) Kiribati;2020-01-26;2020-01-26;2020-01-25T22:48:04
7;Forward;action-items primary;75660;53546;e-services Product;0;2020-01-26T10:19:52;navigating haptic;Awesome Rubber Shoes FTP;2020-01-26;2020-01-26;2020-01-26T11:59:22
8;Shoes system Ways;Steel Organic Dynamic;26784;12691;applications primary;17;2020-01-26T10:20:00;COM;Danish Krone Mouse Chips;2020-01-25;2020-01-25;2020-01-26T10:43:13
9;Usability withdrawal online;Buckinghamshire Borders;13729;2650;International PNG;9;2020-01-26T10:51:51;Small Officer;circuit Kip frictionless;2020-01-26;2020-01-25;2020-01-26T07:00:26
10;Plaza Architect Cambridgeshire;Avon Secured;30890;99192;USB;17;2020-01-26T13:01:03;Communications;Quality-focused Dynamic;2020-01-26;2020-01-25;2020-01-25T21:42:18
